Contract Year,Type,Client,Project,End Country,Application,Upgrade,Voltage,Inductive Rating,Capacitive Rating
2015,STATCOM,ABB,Delta House,Sweden,Pilot,N,8.6,20.0,20.0
2015,SVC,Kvaerner,Nyhamna SVC,Norway,Utility,N,132.0,200.0,200.0
2015,SVC,Comisión Federal de Electricidad,Carmen (PID 1804),Mexico,Utility,N,115.0,15.0,50.0
2014,SVC,Comisión Federal de Electricidad,La Higuera (PID 1902),Mexico,Utility,N,230.0,300.0,300.0
2014,SVC,Xcel Energy,China Draw,USA,Utility,N,230.0,70.0,135.0
2014,SVC,Xcel Energy,Roadrunner,USA,Utility,N,230.0,70.0,200.0
2014,SVC,PHI,Cedar SVC,USA,Utility,N,230.0,100.0,150.0
2014,STATCOM,US Steel Company,Fairfield EAF Facility,USA,Industry,N,33.0,0.0,220.0
2014,SVC,First Energy,Erie South,USA,Utility,N,230.0,100.0,250.0
2014,SVC,First Energy,New Castle SVC,USA,Utility,N,138.0,75.0,150.0
2014,SVC,First Energy,Lakeshore SVC,USA,Utility,N,138.0,100.0,250.0
2014,SVC,Danieli,IIC Steel,Egypt,Industry,N,22.0,0.0,85.0
2014,FSC,IPC,IPC Midpoint 2 SC,USA,Utility,N,230.0,,320.0
2014,FSC,IPC,IPC Midpoint 1 SC,USA,Utility,N,230.0,,320.0
2013,STATCOM,AUSENCO Kazakhmys PLC,Aktogay Sulphide Plant,Kazakhstan,Industry,N,35.0,32.0,32.0
2013,TCSC,National Grid Electricity Transmission,APC,England,Utility,N,400.0,,393.42
2013,STATCOM,Vattenfall AB,Pen y Cymoedd,W ales,Renewable,N,132.0,50.0,70.0
2013,TCSC,National Grid Electricity Transmission,Hutton TCSC 2,England,Utility,N,400.0,,393.42
2013,SVC,"Standard Steel, LLC",Standard Steel,USA,Industry,N,46.0,0.0,80.0
2013,SVC,CGN,El Estor,Guatemala,Industry,N,34.5,43.0,157.0
2013,SVC,JSW Steel Limited,JSW Steel,India,Industry,N,33.0,0.0,180.0
2013,SVC,Gulf Power,Alligator Swamp and Highland City 1,USA,Utility,N,230.0,100.0,125.0
